               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10098,            0.053936,                   0,           0.0039333,             0.27353,           0.0027978,          0.00076528,             0.10969,            0.042732,                   0,             0.07012,             0.00332,             0.00332
                   1,            0.096772,            0.054867,                   0,             0.00414,              0.2879,           0.0034629,           0.0010474,            0.095404,            0.043999,                   0,            0.040054,           0.0065875,           0.0065875
                   2,            0.092944,            0.054522,                   0,            0.016376,             0.11961,           0.0074221,           0.0019187,            0.091102,              0.0658,                   0,           0.0099223,           0.0097889,           0.0097889
                   3,            0.084502,            0.054423,                   0,             0.11164,             0.15855,            0.064312,            0.017849,            0.081215,            0.045778,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.077461,            0.053235,                   0,             0.19793,             0.18405,              0.1148,            0.040364,            0.077955,            0.040934,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.073109,            0.052465,                   0,             0.29519,             0.22194,             0.17715,              0.0638,             0.07317,            0.040318,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.069397,            0.052186,                   0,             0.42097,             0.26287,             0.25156,            0.097245,             0.06949,            0.039523,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.067368,            0.051645,                   0,             0.36869,             0.28419,             0.25766,             0.10065,            0.067543,             0.03898,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.06555,            0.050838,                   0,             0.42327,             0.30737,             0.29248,             0.11576,            0.065652,            0.039147,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.064117,            0.050296,                   0,             0.43975,             0.35744,             0.33591,             0.13255,            0.063847,            0.038386,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.063105,            0.050522,                   0,             0.53329,             0.36579,             0.37715,             0.15282,             0.06339,            0.037642,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.061858,            0.050069,                   0,              0.5032,             0.37599,              0.3836,             0.15679,            0.061676,            0.037332,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.060913,            0.048498,                   0,             0.50663,             0.38479,             0.39799,             0.17156,             0.06052,            0.037422,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.060164,            0.048553,                   0,             0.52028,             0.38433,             0.39918,             0.17323,            0.060418,            0.036756,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.059491,            0.048377,                   0,             0.55696,             0.39963,             0.43402,             0.18846,            0.059744,             0.03662,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.059178,            0.047668,                   0,             0.55805,             0.38943,             0.41097,             0.18025,            0.059748,            0.037071,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.057976,            0.047312,                   0,             0.59468,             0.41491,             0.45277,             0.20169,            0.057743,            0.036215,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.057903,            0.047904,                   0,             0.59749,             0.43208,             0.47493,             0.21237,            0.057759,            0.035888,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.057304,            0.047473,                   0,             0.61318,             0.41215,             0.46202,             0.21099,            0.057218,            0.036209,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.056535,            0.046935,                   0,             0.61347,             0.41771,             0.46363,             0.21393,            0.057714,            0.036687,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.056354,            0.047284,                   0,             0.61678,             0.45109,             0.49783,             0.22773,            0.056289,            0.035389,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.055745,            0.046121,                   0,              0.5808,             0.47473,             0.50536,             0.23025,             0.05575,            0.034995,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.055744,            0.046745,                   0,             0.65048,             0.44274,             0.50645,             0.23544,            0.055949,            0.034847,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055065,            0.047425,                   0,             0.59692,             0.45202,             0.49414,             0.23106,            0.056017,            0.035105,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.05472,            0.046856,                   0,             0.63935,             0.47798,             0.53152,              0.2551,            0.054703,            0.034395,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.054388,            0.045935,                   0,              0.6487,              0.4752,             0.52815,             0.25673,            0.054501,            0.034318,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.053821,            0.044607,                   0,              0.6311,             0.46592,             0.52078,             0.24829,            0.054608,            0.034585,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.053699,            0.046133,                   0,             0.60178,             0.47079,             0.51968,             0.24966,            0.054546,            0.034559,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.053308,            0.045545,                   0,             0.60655,             0.49172,             0.52464,             0.25523,            0.054115,            0.034451,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.052874,            0.044706,                   0,             0.63979,             0.49325,             0.54959,               0.266,            0.054087,            0.033866,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.052752,            0.045655,                   0,             0.63383,             0.48076,             0.53794,             0.26683,            0.053547,            0.033865,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.052578,              0.0448,                   0,              0.6421,             0.49467,             0.54801,             0.26872,            0.053083,            0.033818,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.052272,            0.044002,                   0,              0.6442,             0.47426,             0.53514,             0.26294,            0.053647,            0.034091,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.052432,             0.04419,                   0,              0.6456,             0.49281,             0.54484,             0.27001,            0.053124,             0.03386,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.051992,            0.045488,                   0,             0.66693,              0.4818,             0.55294,              0.2759,            0.053459,            0.033573,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.051417,            0.044059,                   0,             0.66578,             0.50858,             0.57141,             0.28421,            0.052373,            0.033404,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.051761,            0.043986,                   0,             0.65292,             0.51553,             0.56564,             0.28325,            0.052123,            0.033694,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.050997,            0.043901,                   0,             0.67891,              0.5058,             0.56999,             0.28871,            0.052084,            0.033347,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.050996,            0.043412,                   0,             0.68114,             0.50348,             0.57704,             0.29217,            0.052138,            0.033326,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.050578,            0.043161,                   0,             0.67164,             0.50301,             0.57452,             0.29579,            0.051747,            0.033183,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.050865,            0.043263,                   0,             0.67863,             0.49832,              0.5693,             0.28319,            0.052366,             0.03341,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050543,            0.043431,                   0,              0.6854,             0.50023,             0.57044,             0.29072,            0.051494,            0.033592,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.049766,            0.042465,                   0,             0.69723,             0.50713,             0.57736,             0.29365,             0.05179,            0.033161,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.050033,            0.043106,                   0,             0.67815,              0.5058,             0.58295,             0.29679,            0.051499,            0.033082,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.04938,            0.042663,                   0,             0.70638,             0.50525,             0.58812,             0.30165,            0.051374,            0.033025,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.049727,            0.042901,                   0,             0.69832,              0.5058,             0.58402,             0.30111,            0.051364,            0.033177,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.04954,            0.042644,                   0,             0.69741,             0.51368,             0.58869,             0.30731,             0.05094,            0.032945,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.049474,             0.04308,                   0,             0.72608,              0.4956,             0.58235,             0.30243,            0.051046,            0.033004,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.049068,            0.042687,                   0,             0.68321,             0.52192,             0.58537,             0.30271,            0.051136,            0.033092,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.048944,            0.041985,                   0,             0.70212,             0.52123,             0.59078,             0.30607,            0.050786,            0.033335,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.048491,            0.042319,                   0,             0.69456,             0.51763,             0.59333,             0.30647,            0.050766,            0.032888,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.04886,            0.041768,                   0,             0.68549,             0.52248,             0.59888,             0.30993,            0.050612,            0.032766,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048629,             0.04256,                   0,             0.67645,               0.535,             0.59663,             0.31373,            0.050329,            0.032755,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048369,            0.041291,                   0,             0.70539,             0.51837,             0.59528,             0.31155,            0.050222,            0.032861,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048107,             0.04188,                   0,             0.69647,             0.52666,             0.60008,             0.31442,            0.050326,            0.032658,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.047946,            0.041002,                   0,             0.69398,               0.535,             0.60135,             0.31715,            0.050004,            0.032688,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.047996,            0.041472,                   0,             0.72875,             0.52438,             0.61064,             0.32017,            0.050247,            0.032609,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.047792,            0.041106,                   0,             0.69874,             0.52388,             0.59955,             0.31495,            0.050221,            0.032764,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.047563,            0.041087,                   0,             0.67787,             0.53266,             0.59682,             0.31621,            0.049896,            0.032586,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.047577,            0.040631,                   0,             0.70273,             0.52944,             0.60313,              0.3188,            0.050009,            0.032696,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.047376,            0.041004,                   0,             0.69575,             0.53327,             0.60754,             0.32159,            0.049824,            0.032619,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.047107,            0.040722,                   0,             0.67919,             0.52707,             0.59613,             0.31395,            0.050005,            0.032983,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.046805,             0.04085,                   0,             0.69346,             0.52202,             0.60224,             0.32308,            0.049822,            0.032607,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.04676,            0.040815,                   0,             0.69236,             0.53213,             0.60431,             0.32427,            0.049677,            0.032795,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.047225,            0.040489,                   0,             0.72499,             0.51698,             0.59977,             0.31783,            0.049848,            0.032822,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.046468,            0.040148,                   0,             0.70442,             0.53268,             0.61073,             0.32807,             0.04941,            0.032457,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.046078,            0.039845,                   0,                 0.7,              0.5387,             0.61274,             0.33198,            0.049153,            0.032587,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.046303,            0.039862,                   0,             0.69401,             0.52575,              0.6055,             0.32642,            0.049432,            0.032823,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.045914,            0.039972,                   0,             0.68241,             0.53639,             0.59704,             0.31995,            0.049587,            0.032936,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.046048,            0.040587,                   0,             0.70789,             0.54153,             0.61548,             0.32793,            0.049268,            0.032597,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.046098,            0.040248,                   0,             0.70717,             0.53315,              0.6089,             0.32923,            0.049195,            0.032774,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.045942,            0.040678,                   0,             0.71249,             0.52944,             0.60699,             0.32782,            0.049373,            0.032792,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.045673,             0.03918,                   0,             0.69371,             0.53454,             0.61083,              0.3302,            0.049508,            0.032692,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.045469,            0.039208,                   0,              0.7067,             0.53639,             0.61185,             0.33073,            0.049186,            0.032744,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.045297,            0.039724,                   0,             0.73348,             0.52109,             0.61379,             0.32995,            0.049126,            0.032658,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.045481,            0.039361,                   0,             0.72672,             0.53037,             0.61247,             0.33124,             0.04934,            0.032655,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.0453,            0.038851,                   0,              0.7159,             0.53268,             0.61249,             0.33578,            0.049366,            0.032546,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.045152,            0.039766,                   0,             0.72072,               0.535,              0.6148,             0.33376,            0.049113,            0.032572,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.045185,            0.039481,                   0,               0.738,             0.52017,             0.61728,             0.33605,            0.049142,            0.032567,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.044921,             0.03883,                   0,             0.69348,             0.55591,             0.62207,              0.3396,            0.049109,            0.032541,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.044777,            0.039129,                   0,             0.72702,             0.53454,               0.618,             0.33702,            0.048945,            0.032556,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.044804,            0.039009,                   0,              0.7171,              0.5394,             0.61744,              0.3348,            0.049289,            0.032749,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.044357,             0.03839,                   0,             0.69018,             0.54937,             0.61679,             0.33361,            0.049259,             0.03266,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.044578,            0.038307,                   0,             0.74883,             0.52662,             0.62238,             0.33628,            0.049423,            0.032531,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.044169,            0.038089,                   0,             0.70897,             0.53964,             0.61832,             0.33579,            0.049047,            0.032686,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.044568,            0.038282,                   0,             0.72023,              0.5452,             0.62272,             0.33685,            0.049107,            0.032739,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.044299,            0.038465,                   0,             0.72686,             0.53543,              0.6186,             0.33632,             0.04924,             0.03272,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.043767,            0.038668,                   0,             0.73263,             0.53732,             0.62125,             0.33901,            0.049101,            0.032638,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.043856,             0.03788,                   0,             0.69783,             0.54242,             0.61933,             0.33654,            0.049097,            0.032652,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.043582,            0.037839,                   0,             0.72226,             0.54251,             0.62417,             0.34281,            0.048962,             0.03257,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.043696,            0.038254,                   0,             0.74016,             0.52898,             0.61502,             0.33729,            0.049015,             0.03287,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.043173,            0.037795,                   0,             0.73785,             0.52944,             0.61805,             0.33952,            0.049177,            0.032775,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.043407,            0.038161,                   0,             0.70272,             0.54335,             0.61966,             0.33966,            0.049053,            0.032759,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.043545,             0.03736,                   0,             0.70208,             0.55355,             0.61919,             0.34072,            0.049091,            0.032734,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.043388,             0.03727,                   0,             0.69951,             0.54984,             0.61959,             0.34128,             0.04897,            0.032835,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.043019,            0.036835,                   0,             0.73724,             0.52898,             0.61957,             0.34088,            0.048935,            0.032837,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.043018,            0.036795,                   0,             0.72346,             0.54057,             0.62094,             0.33954,            0.049022,            0.032874,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.042739,            0.036865,                   0,              0.7263,             0.53393,             0.62001,             0.34134,            0.048983,            0.032922,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.042629,            0.036321,                   0,             0.72158,             0.53825,             0.62034,             0.34218,            0.049052,            0.032898,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.043002,            0.037236,                   0,             0.72603,             0.53933,             0.61933,             0.34143,            0.049035,            0.032938,                   0,            0.000298,            0.000298,            0.000298
